content,poetry_author,poetry_name
"
山外青山楼外楼，西湖歌舞几时休？,暖风熏得游人醉，直把杭州作汴州。
",林升,题临安邸
"
昨夜江边春水生，蒙冲巨舰一毛轻。(蒙冲 一作：艨艟),向来枉费推移力，此日中流自在行。
",朱熹,观书有感·其二
"
胜日寻芳泗水滨，无边光景一时新。,等闲识得东风面，万紫千红总是春。
",朱熹,春日
"
律回岁晚冰霜少，春到人间草木知。,便觉眼前生意满，东风吹水绿参差。
",张栻,立春偶成
"
美人台上昔欢娱，今日空台望五湖。残雪未融青草死，苦无麋鹿过姑苏。,黄帽传呼睡不成，投稿细细激流冰。分明旧泊江南岸，舟尾春风飐客灯。,千门列炬散林鸦，儿女相思未到家。应是不眠非守岁，小客春意入灯花。,三生定自陆天随，又向顺松作客归。已拚新年舟上过，倩人和雪洗片衣。,沙尾风回一棹寒，椒花今夕不登盘。百年草草都寒夜，自琢春词剪烛看。,笠泽茫茫雁影微，玉峰重叠护云衣。长桥寂寞春寒放，只有诗人一舸归。,桑间篝火却定蚕，风土相传我未谙。但得明年少行役，只裁白伫作春衫。,少小知名翰墨场，十年心事只凄凉。旧时曾作梅花赋，研墨于今亦自香。,环玦随波冷未销，古苔留雪卧墙腰。谁家玉笛吹春怨，看见鹅黄上柳条。
",姜夔,除放自石湖归苕溪
"
自作新词韵最娇，小红低唱我吹箫。,曲终过尽松陵路，回首烟波十四桥。
",姜夔,过垂虹
"
水满田畴稻叶齐，日光穿树晓烟低。,黄莺也爱新凉好，飞过青山影里啼。
",徐玑,新凉
"
,
",赵师秀,约客
"
绿遍山原白满川，子规声里雨如烟。,乡村四月闲人少，才了蚕桑又插田。
",翁卷,乡村四月
"
,
",戴复古,江村晚眺
"
小桃无主自开花，烟草茫茫带晚鸦。,几处败垣围故井，向来一一是人家。
",戴复古,淮村兵后
"
应怜屐齿印苍苔，小扣柴扉久不开。,春色满园关不住，一枝红杏出墙来。
",叶绍翁,游园不值
"
一片能教一断肠，可堪平砌更堆墙。,飘如迁客来过岭，坠似骚人去赴湘。,乱点莓苔多莫数，偶粘衣袖久犹香。,东风谬掌花权柄，却忌孤高不主张。
",刘克庄,落梅
"
掷柳迁乔太有情，交交时作弄机声。,洛阳三月花如锦，多少工夫织得成。
",刘克庄,莺梭
"
乳鸭池塘水浅深，熟梅天气半阴晴。(阴晴 一作：晴阴),东园载酒西园醉，摘尽枇杷一树金。
",戴复古,初夏游张园
"
门外无人问落花，绿阴冉冉遍天涯。,林莺啼到无声处，青草池塘独听蛙。
",曹豳,春暮
"
古木阴中系短篷，杖藜扶我过桥东。,沾衣欲湿杏花雨，吹面不寒杨柳风。
",志南,绝句
"
辛苦遭逢起一经，干戈寥落四周星。,山河破碎风飘絮，身世浮沉雨打萍。,惶恐滩头说惶恐，零丁洋里叹零丁。,人生自古谁无死？留取丹心照汗青。
",文天祥,过零丁洋
"
,
",郑思肖,二砺
"
花开不并百花丛，独立疏篱趣未穷。,宁可枝头抱香死，何曾吹落北风中。
",郑思肖,寒菊
"
寒夜客来茶当酒，竹炉汤沸火初红。,寻常一样窗前月，才有梅花便不同。
",杜耒,寒夜
"
梅雪争春未肯降，骚人阁笔费评章。,梅须逊雪三分白，雪却输梅一段香。
",卢钺,雪梅
"
十年无梦得还家，独立青峰野水涯。,天地寂寥山雨歇，几生修得到梅花？
",谢枋得,武夷山中
"
,
",佚名,月儿弯弯照九州
"
竹影和诗瘦，梅花入梦香。,可怜今夜月，不肯下西厢。
",王庭筠,绝句
"
,
",元好问,台山杂咏
"
,
",元好问,壬辰十二月车驾东狩后即事二首
"
枝间新绿一重重， 小蕾深藏数点红。,爱惜芳心莫轻吐， 且教桃李闹春风。
",元好问,同儿辈赋未开海棠
"
,
",陈孚,博浪沙
"
,
",刘因,山家
"
,
",赵孟頫,东城
"
,
",黄庚,临平泊舟
"
城雪初消荠菜生，角门深巷少人行。,柳梢听得黄鹂语，此是春来第一声。
",杨载,到京师
"
何处它年寄此生，山中江上总关情。,无端绕屋长松树，尽把风声作雨声。
",虞集,院中独坐
"
春草细还生，春雏养渐成。,茸茸毛色起，应解自呼名。
",揭傒斯,画鸭
"
,
",王冕,墨梅
"
花开红树乱莺啼，草长平湖白鹭飞。,风日晴和人意好，夕阳箫鼓几船归。
",徐元杰,湖上
"
牛羊散漫落日下，野草生香乳酪甜。,卷地朔风沙似雪，家家行帐下毡帘。
",萨都剌,上京即事五首·其三
"
江水三千里，家书十五行。,行行无别语，只道早还乡。
",袁凯,京师得家书
"
细雨茸茸湿楝花，南风树树熟枇杷；,徐行不记山深浅，一路莺啼送到家。
",杨基,天平山中
"
绿池芳草满晴波，春色都从雨里过。,知是人家花落尽，菜畦今日蝶来多。
",高启,春暮西园
"
渡水复渡水，看花还看花。,春风江上路，不觉到君家。
",高启,寻胡隐君
"
春风一夜到衡阳，楚水燕山万里长。,莫怪春来便归去，江南虽好是他乡。
",王恭,春雁
"
岸蓼疏红水荇青，茨菰花白小如萍。,双鬟短袖惭人见，背立船头自采菱。
",杨士奇,发淮安
"
下床着新衣，初学小姑拜。,低头羞见人，双手结裙带。
",毛铉,幼女词
"
,
",李昌祺,乡人至夜话
"
,
",于谦,石灰吟
"
碧水丹山映杖藜，夕阳犹在小桥西。,微吟不道惊溪鸟，飞入乱云深处啼。
",沈周,题画
"
莫将画竹论难易，刚道繁难简更难。,君看萧萧只数叶，满堂风雨不胜寒。
",李东阳,柯敬仲墨竹
"
不炼金丹不坐禅，不为商贾不耕田。,闲来写就青山卖，不使人间造孽钱。
",唐寅,言志
"
船板胡在兹，而我寝其上。,情知非江湖，梦寐亦风浪。
",李梦阳,船板床
"
洞庭叶未下，潇湘秋欲生。,高斋今夜雨，独卧武昌城。,重以桑梓念，凄其江汉情。,不知天外雁，何事乐长征？
",徐祯卿,在武昌作
"
汉江明月照归人，万里秋风一叶身。,休把客衣轻浣濯，此中犹有帝京尘。
",边贡,重赠吴国宾
"
十二峰头秋草荒，冷烟寒月过瞿塘。,青枫江上孤舟客，不听猿声亦断肠。
",何景明,竹枝词
"
高田如楼梯，平田如棋局。,白鹭忽飞来，点破秧针绿。
",杨慎,出郊
"
暝色满西山，将军猎骑还。,隔河见烽火，骄虏夜临关。
",谢榛,塞下曲
"
白羽如霜出塞寒，胡烽不断接长安。,城头一片西山月，多少征人马上看。
",李攀龙,塞上曲送元美
"
浩气还太虚，丹心照千古。,生平未报国，留作忠魂补。
",杨继盛,就义诗
"
半生落魄已成翁，独立书斋啸晚风。,笔底明珠无处卖，闲抛闲掷野藤中。
",徐渭,题葡萄图
"
南北驱驰报主情，江花边月笑平生。(边月 一作：边草),一年三百六十日，多是横戈马上行。 (多是 一作：都是)
",戚继光,马上作
"
今日复今日，今日何其少！,今日又不为，此事何时了？,人生百年几今日，今日不为真可惜！,若言姑待明朝至，明朝又有明朝事。,为君聊赋今日诗，努力请从今日始。
",文嘉,今日歌
"
,
",高攀龙,枕石
"
湘山晴色远微微，尽日江头独醉归。,不见两关传露布，尚闻三殿未垂衣。,边筹自古无中下，朝论于今有是非。,日暮平沙秋草乱，一双白鸟避人飞。
",袁宏道,感事
"
寂历秋江渔火稀，起看残月映林微。,波光水鸟惊犹宿，露冷流萤湿不飞。
",汤显祖,江宿
"
并刀昨夜匣中鸣，燕赵悲歌最不平；,易水潺湲云草碧，可怜无处送荆卿！
",陈子龙,渡易水
"
,
,
,
",夏完淳,即事三首
"
三年羁旅客，今日又南冠。,无限山河泪，谁言天地宽。(山河 一作：河山),已知泉路近，欲别故乡难。,毅魄归来日，灵旗空际看。
",夏完淳,别云间
